example_id                                                                                 | status | run_time        |
./spec/features/users/user_can_create_new_account_spec.rb[1:2]                             | passed | 0.06386 seconds |
./spec/features/users/user_can_create_new_account_spec.rb[1:3]                             | passed | 0.06536 seconds |
./spec/features/users/user_can_logout_spec.rb[1:1]                                         | passed | 0.06771 seconds |
./spec/features/users/user_can_view_past_order_spec.rb[1:1:1]                              | passed | 0.10885 seconds |
./spec/features/users/user_can_view_past_order_spec.rb[1:1:2]                              | passed | 0.09717 seconds |
./spec/features/users/user_can_view_past_order_spec.rb[1:1:3]                              | passed | 0.09804 seconds |
./spec/features/users/user_can_view_past_orders_spec.rb[1:1:1]                             | passed | 0.11128 seconds |
./spec/features/users/user_can_view_past_orders_spec.rb[1:2:1]                             | passed | 0.02719 seconds |
./spec/features/users/user_cannot_add_retired_item_to_cart_spec.rb[1:1:1]                  | passed | 0.10209 seconds |
./spec/features/visitors/guest_user_does_not_see_checkout_until_login_spec.rb[1:1:1]       | passed | 0.12208 seconds |
./spec/features/visitors/visitor_can_add_item_to_cart_spec.rb[1:1:1]                       | passed | 0.10837 seconds |
./spec/features/visitors/visitor_can_add_item_to_cart_spec.rb[1:2:1]                       | passed | 0.14649 seconds |
./spec/features/visitors/visitor_can_add_item_to_cart_spec.rb[1:3:1]                       | passed | 0.13556 seconds |
./spec/features/visitors/visitor_can_add_multiple_unique_item_to_cart_spec.rb[1:1:1]       | passed | 0.10203 seconds |
./spec/features/visitors/visitor_can_adjust_qty_of_item_in_cart_spec.rb[1:1:1]             | passed | 0.07658 seconds |
./spec/features/visitors/visitor_can_adjust_qty_of_item_in_cart_spec.rb[1:1:2]             | passed | 0.08588 seconds |
./spec/features/visitors/visitor_can_browse_item_by_category_spec.rb[1:1:1]                | passed | 0.07053 seconds |
./spec/features/visitors/visitor_can_remove_items_from_cart_spec.rb[1:1:1]                 | passed | 0.06644 seconds |
./spec/features/visitors/visitor_can_view_items_spec.rb[1:1]                               | passed | 0.04533 seconds |
./spec/models/address_spec.rb[1:1]                                                         | passed | 0.00532 seconds |
./spec/models/address_spec.rb[1:2]                                                         | passed | 0.00121 seconds |
./spec/models/address_spec.rb[1:3]                                                         | passed | 0.00127 seconds |
./spec/models/address_spec.rb[1:4]                                                         | passed | 0.00105 seconds |
./spec/models/address_spec.rb[1:5]                                                         | passed | 0.00153 seconds |
./spec/models/categories_spec.rb[1:1:1]                                                    | passed | 0.00372 seconds |
./spec/models/categories_spec.rb[1:1:2]                                                    | passed | 0.01946 seconds |
./spec/models/categories_spec.rb[1:1:3]                                                    | passed | 0.00952 seconds |
./spec/models/categories_spec.rb[1:1:4]                                                    | passed | 0.00195 seconds |
./spec/models/city_spec.rb[1:1:1]                                                          | passed | 0.00304 seconds |
./spec/models/city_spec.rb[1:1:2]                                                          | passed | 0.00285 seconds |
./spec/models/items_spec.rb[1:1:1]                                                         | passed | 0.00461 seconds |
./spec/models/items_spec.rb[1:1:2]                                                         | passed | 0.02719 seconds |
./spec/models/items_spec.rb[1:1:3]                                                         | passed | 0.00529 seconds |
./spec/models/items_spec.rb[1:1:4]                                                         | passed | 0.00412 seconds |
./spec/models/items_spec.rb[1:1:5]                                                         | passed | 0.00692 seconds |
./spec/models/items_spec.rb[1:1:6]                                                         | passed | 0.00153 seconds |
./spec/models/items_spec.rb[1:1:7]                                                         | passed | 0.00246 seconds |
./spec/models/items_spec.rb[1:2]                                                           | passed | 0.00593 seconds |
./spec/models/items_spec.rb[1:3]                                                           | passed | 0.00557 seconds |
./spec/models/order_item_spec.rb[1:1:1]                                                    | passed | 0.00204 seconds |
./spec/models/order_item_spec.rb[1:1:2]                                                    | passed | 0.00476 seconds |
./spec/models/order_item_spec.rb[1:1:3]                                                    | passed | 0.013 seconds   |
./spec/models/order_item_spec.rb[1:2]                                                      | passed | 0.0174 seconds  |
./spec/models/order_spec.rb[1:1:1]                                                         | passed | 0.00168 seconds |
./spec/models/order_spec.rb[1:1:2]                                                         | passed | 0.00133 seconds |
./spec/models/order_spec.rb[1:1:3]                                                         | passed | 0.00191 seconds |
./spec/models/order_spec.rb[1:2]                                                           | passed | 0.00106 seconds |
./spec/models/state_spec.rb[1:1:1]                                                         | passed | 0.00231 seconds |
./spec/models/state_spec.rb[1:1:2]                                                         | passed | 0.00214 seconds |
./spec/models/user_spec.rb[1:1:1]                                                          | passed | 0.00576 seconds |
./spec/models/user_spec.rb[1:1:2]                                                          | passed | 0.00346 seconds |
./spec/models/user_spec.rb[1:1:3]                                                          | passed | 0.00422 seconds |
./spec/models/user_spec.rb[1:1:4]                                                          | passed | 0.00323 seconds |
./spec/models/user_spec.rb[1:1:5]                                                          | passed | 0.00339 seconds |
./spec/models/user_spec.rb[1:1:6]                                                          | passed | 0.0052 seconds  |
./spec/models/user_spec.rb[1:1:7]                                                          | passed | 0.00342 seconds |
./spec/models/user_spec.rb[1:1:8]                                                          | passed | 0.00531 seconds |
./spec/models/user_spec.rb[1:1:9]                                                          | passed | 0.00128 seconds |
./spec/models/user_spec.rb[1:2]                                                            | passed | 0.0061 seconds  |
./spec/models/user_spec.rb[1:3]                                                            | passed | 0.05205 seconds |
./spec/models/zipcode_spec.rb[1:1:1]                                                       | passed | 0.00246 seconds |
./spec/models/zipcode_spec.rb[1:1:2]                                                       | passed | 0.00224 seconds |
